OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,x,y
86,Walnut Street,Essex,40.81724,-74.20962,153,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,572491.819758009,722750.345405355
87,Bay Street-Montclair,Essex,40.80818,-74.20868,14,System.Byte[],MC,STATIONS,Montclair Twp,MC,YES,572764.175840594,719448.580355361
88,Glen Ridge,Essex,40.80059,-74.20465,50,System.Byte[],MC,STATIONS,Glen Ridge,MC,NO,573889.845177177,716688.455626272
89,Bloomfield,Essex,40.79271,-74.20006,19,System.Byte[],MC,STATIONS,Bloomfield Twp,MC,NO,575167.769786675,713820.782555856
90,Watsessing,Essex,40.78271,-74.19844,155,System.Byte[],MC,STATIONS,Bloomfield Twp,MC,NO,575629.237039592,710180.789507776
91,Bay Head,Ocean,40.07719,-74.04618,13,System.Byte[],NC,STATIONS,Bay Head,NC,NO,619112.506700177,453355.211624525
92,30th Street Station,"Philadelphia, PA",39.95657,-75.18232,1,System.Byte[],AC,STATIONS,Philadelphia,AC,YES,300860.324636258,409826.927618273
93,Cherry Hill,Camden,39.92845,-75.04166,28,System.Byte[],AC,STATIONS,Cherry Hill Twp,AC,YES,340228.794127509,399314.039195277
94,Lindenwold,Camden,39.83376,-75.00024,71,System.Byte[],AC,STATIONS,Lindenwold,AC,YES,351651.666622926,364755.489218026
95,Atco,Camden,39.78362,-74.90771,9,System.Byte[],AC,STATIONS,Waterford Twp,AC,YES,377552.306750678,346361.713997774
96,Hammonton,Atlantic,39.63167,-74.7995,54,System.Byte[],AC,STATIONS,Hammonton,AC,YES,407776.484491177,290896.974205688
97,Egg Harbor City,Atlantic,39.52655,-74.64815,39,System.Byte[],AC,STATIONS,Egg Harbor City,AC,YES,450336.674305011,252501.342663772
98,Absecon,Atlantic,39.42432,-74.50209,2,System.Byte[],AC,STATIONS,Absecon,AC,YES,491534.530557428,215235.863389105
